Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Entre Ríos,Villaguay,1.0,2582.0,79.0,6258.0,93.0,5445.0
Entre Ríos,Nogoya,7.0,1874.0,71.0,4731.0,90.0,3961.0
Entre Ríos,Federacion,0.0,3853.0,66.0,9326.0,76.0,7362.0
Entre Ríos,Diamante,5.0,2155.0,56.0,5216.0,56.0,4404.0
Entre Ríos,Colon,4.0,3368.0,53.0,8095.0,53.0,6808.0
Entre Ríos,Federal,4.0,1448.0,49.0,3327.0,56.0,2784.0
Entre Ríos,Gualeguay,2.0,2558.0,47.0,6359.0,56.0,5287.0
Entre Ríos,Victoria,10.0,1744.0,40.0,4259.0,46.0,3629.0
Entre Ríos,Tala,3.0,1410.0,36.0,3601.0,47.0,2963.0
Entre Ríos,Feliciano,1.0,825.0,27.0,2002.0,30.0,1752.0
Entre Ríos,Islas Del Ibicuy,3.0,707.0,22.0,1790.0,25.0,1491.0
Entre Ríos,San Salvador,2.0,947.0,19.0,2487.0,19.0,2170.0
Formosa,Patino,3.0,4619.0,102.0,11476.0,131.0,8864.0
Formosa,Formosa,13.0,11953.0,99.0,30764.0,89.0,26381.0
Formosa,Pilcomayo,5.0,4950.0,68.0,11883.0,60.0,9453.0
Formosa,Pirane,4.0,3897.0,68.0,9417.0,100.0,7940.0
Formosa,Bermejo,0.0,987.0,47.0,2371.0,60.0,1864.0
Formosa,Ramon Lista,0.0,1333.0,34.0,3239.0,59.0,2578.0
Formosa,Pilagas,0.0,1003.0,27.0,2530.0,34.0,2118.0
Formosa,Laishi,0.0,982.0,21.0,2496.0,23.0,2230.0
Formosa,Matacos,0.0,1019.0,15.0,2539.0,25.0,2024.0
Jujuy,Dr. Manuel Belgrano,26.0,13306.0,106.0,36369.0,87.0,29775.0
Jujuy,San Pedro,6.0,4211.0,44.0,10745.0,41.0,8540.0
Jujuy,El Carmen,5.0,6190.0,43.0,15576.0,42.0,12999.0
Jujuy,Yavi,2.0,1332.0,36.0,3247.0,36.0,2798.0
Jujuy,Humahuaca,0.0,1040.0,33.0,2892.0,35.0,2366.0
Jujuy,Ledesma,1.0,4449.0,31.0,11518.0,27.0,9498.0
Jujuy,Cochinoca,0.0,755.0,28.0,2002.0,32.0,1782.0
Jujuy,Palpala,2.0,2855.0,21.0,7650.0,22.0,6532.0
Jujuy,Tilcara,0.0,626.0,16.0,1787.0,18.0,1565.0
Jujuy,Santa Catalina,0.0,172.0,15.0,350.0,16.0,304.0
Jujuy,Tumbaya,0.0,209.0,15.0,631.0,15.0,468.0
Jujuy,Santa Barbara,1.0,1061.0,14.0,2848.0,15.0,2152.0
Jujuy,Rinconada,0.0,86.0,12.0,292.0,13.0,187.0
Jujuy,Susques,0.0,249.0,9.0,604.0,10.0,483.0
Jujuy,San Antonio,0.0,308.0,6.0,820.0,6.0,617.0
Jujuy,Valle Grande,0.0,111.0,6.0,332.0,8.0,273.0
La Pampa,Capital,13.0,4696.0,61.0,12927.0,42.0,10902.0
La Pampa,Maraco,0.0,2981.0,26.0,7633.0,25.0,6334.0
La Pampa,Utracan,0.0,764.0,12.0,2084.0,14.0,1668.0
La Pampa,Conhelo,0.0,607.0,10.0,1567.0,10.0,1227.0
La Pampa,Rancul,0.0,509.0,10.0,1281.0,11.0,1164.0
La Pampa,Chapaleufu,0.0,551.0,9.0,1353.0,9.0,1136.0
La Pampa,Realico,0.0,709.0,9.0,1924.0,12.0,1672.0
La Pampa,Puelen,0.0,614.0,8.0,1576.0,8.0,1178.0
La Pampa,Atreuco,0.0,420.0,8.0,1146.0,8.0,1002.0
La Pampa,Toay,0.0,899.0,7.0,2436.0,7.0,1773.0
La Pampa,Loventue,0.0,377.0,6.0,993.0,7.0,858.0
La Pampa,Quemu Quemu,0.0,332.0,5.0,825.0,7.0,807.0
La Pampa,Guatrache,0.0,358.0,5.0,894.0,7.0,827.0
La Pampa,Catrilo,0.0,372.0,5.0,1019.0,6.0,794.0
La Pampa,Hucal,0.0,286.0,5.0,693.0,5.0,617.0
La Pampa,Trenel,0.0,249.0,4.0,580.0,4.0,495.0
La Pampa,Chical Co,0.0,66.0,3.0,180.0,3.0,163.0
La Pampa,Limay Mahuida,0.0,14.0,2.0,46.0,2.0,24.0
La Pampa,Curaco,0.0,54.0,2.0,125.0,2.0,90.0
La Pampa,Caleu Caleu,0.0,110.0,2.0,325.0,3.0,283.0
La Pampa,Lihuel Calel,0.0,22.0,1.0,52.0,1.0,44.0
La Pampa,Chalileo,0.0,130.0,1.0,354.0,2.0,270.0
La Rioja,Capital,12.0,8628.0,87.0,23293.0,84.0,20533.0
La Rioja,Chilecito,4.0,2573.0,30.0,7038.0,31.0,6402.0
La Rioja,Rosario Vera Penaloza,0.0,745.0,21.0,1900.0,34.0,1616.0
La Rioja,General Juan Facundo Quiroga,0.0,187.0,19.0,406.0,25.0,417.0
La Rioja,General Belgrano,0.0,346.0,17.0,784.0,20.0,728.0
La Rioja,General Felipe Varela,0.0,479.0,16.0,1249.0,18.0,1001.0
La Rioja,General San Martin,0.0,222.0,14.0,643.0,23.0,550.0
La Rioja,Arauco,1.0,764.0,14.0,1915.0,13.0,1593.0
La Rioja,Chamical,0.0,720.0,13.0,1589.0,24.0,1472.0
La Rioja,Famatina,0.0,265.0,13.0,757.0,14.0,711.0
La Rioja,General Ortiz De Ocampo,0.0,298.0,9.0,765.0,29.0,696.0
La Rioja,Independencia,0.0,111.0,8.0,291.0,10.0,257.0
La Rioja,Vinchina,0.0,116.0,6.0,294.0,7.0,257.0
La Rioja,Castro Barros,0.0,239.0,6.0,626.0,7.0,511.0
La Rioja,San Blas De Los Sauces,0.0,194.0,6.0,501.0,7.0,422.0
La Rioja,General Lamadrid,0.0,86.0,2.0,191.0,2.0,187.0
La Rioja,Sanagasta,0.0,124.0,1.0,361.0,1.0,270.0
La Rioja,Angel Vicente Penaloza,0.0,138.0,0.0,392.0,0.0,296.0
Mendoza,San Rafael,30.0,9770.0,132.0,24756.0,130.0,19958.0
Mendoza,Guaymallen,26.0,14431.0,83.0,36996.0,87.0,29798.0
Mendoza,Maipu,13.0,10215.0,72.0,26442.0,69.0,21528.0
Mendoza,Godoy Cruz,22.0,7559.0,70.0,19838.0,67.0,16701.0
Mendoza,Capital,20.0,4557.0,60.0,11563.0,62.0,9394.0
Mendoza,San Martin,23.0,6520.0,59.0,17257.0,62.0,13262.0
Mendoza,Las Heras,26.0,11303.0,55.0,28992.0,55.0,23685.0
Mendoza,Lujan De Cuyo,11.0,7858.0,55.0,20822.0,56.0,17463.0
Mendoza,Lavalle,17.0,2567.0,45.0,6674.0,46.0,5019.0
Mendoza,General Alvear,16.0,2260.0,40.0,6260.0,43.0,4846.0
Mendoza,Rivadavia,13.0,2949.0,30.0,7683.0,31.0,6036.0
Mendoza,Tunuyan,13.0,2891.0,29.0,7833.0,31.0,6153.0
Mendoza,Junin,12.0,2075.0,28.0,5299.0,28.0,4319.0
Mendoza,San Carlos,18.0,1961.0,27.0,5109.0,30.0,4018.0
Mendoza,Malargue,7.0,1629.0,22.0,4345.0,22.0,3426.0
Mendoza,Tupungato,5.0,2125.0,20.0,5685.0,22.0,4481.0
Mendoza,Santa Rosa,15.0,994.0,19.0,2509.0,22.0,1897.0
Mendoza,La Paz,4.0,574.0,9.0,1499.0,11.0,1108.0
Misiones,Capital,14.0,18639.0,138.0,47460.0,129.0,37696.0
Misiones,Obera,2.0,6333.0,99.0,16152.0,108.0,12528.0
Misiones,Guarani,0.0,4649.0,93.0,11433.0,143.0,8836.0
Misiones,Cainguas,1.0,3382.0,88.0,8762.0,99.0,6766.0
Misiones,Iguazu,3.0,5769.0,78.0,14290.0,80.0,10929.0
Misiones,San Ignacio,0.0,3473.0,71.0,8670.0,79.0,6716.0
Misiones,General Manuel Belgrano,0.0,2917.0,70.0,6918.0,87.0,5169.0
Misiones,Eldorado,2.0,4724.0,61.0,12100.0,70.0,9635.0
Misiones,Leandro N. Alem,2.0,2490.0,56.0,6082.0,65.0,4879.0
Misiones,San Pedro,0.0,2266.0,49.0,5727.0,79.0,4161.0
Misiones,25 De Mayo,0.0,1718.0,45.0,4288.0,68.0,3286.0
Misiones,Montecarlo,0.0,2010.0,36.0,5313.0,39.0,4258.0
Misiones,San Javier,0.0,1242.0,34.0,3294.0,40.0,2470.0
Misiones,Apostoles,2.0,2821.0,32.0,6783.0,34.0,5453.0
Misiones,Candelaria,1.0,1969.0,23.0,4979.0,30.0,3937.0
Misiones,Concepcion,0.0,569.0,14.0,1384.0,21.0,1152.0
Misiones,Libertador General San Martin,0.0,2869.0,0.0,6927.0,0.0,5525.0
Neuquén,Confluencia,12.0,19766.0,147.0,52500.0,160.0,42174.0
Neuquén,Zapala,1.0,2031.0,27.0,5480.0,30.0,4533.0
Neuquén,Lacar,6.0,1654.0,19.0,4460.0,24.0,3818.0
Neuquén,Huiliches,2.0,1002.0,18.0,2530.0,19.0,1973.0
Neuquén,Alumine,0.0,497.0,12.0,1208.0,13.0,1021.0
Neuquén,Pehuenches,0.0,1538.0,11.0,4093.0,17.0,3242.0
Neuquén,Norquin,0.0,269.0,11.0,646.0,13.0,522.0
Neuquén,Chos Malal,0.0,734.0,10.0,2162.0,18.0,1701.0
Neuquén,Catan Lil,0.0,138.0,10.0,368.0,12.0,258.0
Neuquén,Picunches,0.0,424.0,9.0,1097.0,10.0,793.0
Neuquén,Minas,0.0,468.0,9.0,1061.0,17.0,831.0
Neuquén,Los Lagos,2.0,655.0,7.0,1861.0,9.0,1466.0
Neuquén,Anelo,0.0,1024.0,6.0,2480.0,9.0,1881.0
Neuquén,Loncopue,0.0,395.0,6.0,927.0,11.0,729.0
Neuquén,Picun Leufu,0.0,222.0,5.0,631.0,7.0,445.0
Neuquén,Collon Cura,1.0,217.0,5.0,535.0,7.0,461.0
Río Negro,General Roca,17.0,16354.0,157.0,43425.0,165.0,35515.0
Río Negro,Bariloche,18.0,6400.0,72.0,17315.0,71.0,13885.0
Río Negro,Adolfo Alsina,15.0,2598.0,39.0,7124.0,35.0,6046.0
Río Negro,Avellaneda,1.0,1938.0,23.0,4940.0,29.0,4126.0
Río Negro,San Antonio,4.0,1492.0,14.0,4166.0,15.0,3416.0
Río Negro,25 De Mayo,3.0,793.0,10.0,1877.0,14.0,1607.0
Río Negro,Pichi Mahuida,1.0,798.0,8.0,1943.0,10.0,1439.0
Río Negro,Pilcaniyeu,0.0,336.0,8.0,1107.0,13.0,821.0
Río Negro,Conesa,2.0,345.0,7.0,840.0,9.0,630.0
Río Negro,El Cuy,0.0,309.0,7.0,901.0,9.0,675.0
Río Negro,Norquinco,0.0,63.0,7.0,141.0,9.0,127.0
Río Negro,9 De Julio,2.0,132.0,7.0,408.0,7.0,321.0
Río Negro,Valcheta,0.0,183.0,6.0,457.0,8.0,367.0
Salta,Capital,19.0,27161.0,181.0,72054.0,157.0,59245.0
Salta,General Jose De San Martin,0.0,10488.0,107.0,25874.0,108.0,20452.0
Salta,Rivadavia,0.0,2651.0,100.0,6427.0,104.0,4929.0
Salta,Oran,4.0,8945.0,75.0,22746.0,66.0,18047.0
Salta,Anta,2.0,3627.0,55.0,9429.0,57.0,7601.0
Salta,Santa Victoria,0.0,524.0,38.0,1436.0,45.0,1218.0
Salta,Rosario De La Frontera,1.0,1630.0,34.0,4146.0,33.0,3302.0
Salta,Rosario De Lerma,0.0,2668.0,32.0,6604.0,33.0,5208.0
Salta,General Guemes,2.0,2699.0,30.0,6917.0,27.0,5526.0
Salta,Metan,1.0,2382.0,29.0,5695.0,27.0,4488.0
Salta,Iruya,1.0,386.0,23.0,930.0,26.0,785.0
Salta,Cerrillos,1.0,2984.0,22.0,8047.0,18.0,6079.0
Salta,San Carlos,0.0,386.0,21.0,1102.0,21.0,812.0
Salta,Chicoana,1.0,1137.0,18.0,3014.0,18.0,2568.0
Salta,Cachi,0.0,459.0,16.0,1236.0,16.0,883.0
Salta,Molinos,0.0,302.0,14.0,837.0,14.0,706.0
Salta,Cafayate,0.0,804.0,11.0,2378.0,10.0,1887.0
Salta,La Caldera,4.0,547.0,10.0,1430.0,9.0,1076.0
Salta,Los Andes,0.0,495.0,9.0,1130.0,8.0,923.0
Salta,La Vina,0.0,424.0,8.0,1108.0,9.0,909.0
Salta,La Poma,0.0,99.0,8.0,260.0,8.0,234.0
Salta,Guachipas,0.0,185.0,7.0,403.0,10.0,332.0
Salta,La Candelaria,0.0,343.0,6.0,904.0,7.0,755.0
San Juan,Capital,6.0,4264.0,56.0,10619.0,59.0,9248.0
San Juan,Rawson,0.0,6557.0,37.0,16891.0,49.0,14120.0
San Juan,Rivadavia,1.0,4713.0,34.0,11692.0,35.0,9610.0
San Juan,Jachal,0.0,1168.0,32.0,2781.0,34.0,2398.0
San Juan,Pocito,0.0,4016.0,26.0,10435.0,27.0,8555.0
San Juan,Sarmiento,0.0,1597.0,23.0,3853.0,26.0,3304.0
San Juan,Caucete,0.0,2312.0,23.0,5636.0,26.0,5029.0
San Juan,25 De Mayo,0.0,1285.0,22.0,2998.0,22.0,2605.0
San Juan,Chimbas,0.0,5416.0,21.0,13494.0,26.0,11469.0
San Juan,Valle Fertil,0.0,414.0,19.0,963.0,21.0,801.0
San Juan,Santa Lucia,0.0,3160.0,16.0,7756.0,18.0,6279.0
San Juan,Calingasta,0.0,606.0,16.0,1476.0,17.0,1116.0
San Juan,Albardon,0.0,1568.0,13.0,4253.0,13.0,3543.0
San Juan,Angaco,0.0,519.0,12.0,1380.0,12.0,1164.0
San Juan,San Martin,0.0,836.0,12.0,2165.0,12.0,1718.0
San Juan,Iglesia,0.0,429.0,11.0,1084.0,14.0,908.0
San Juan,9 De Julio,0.0,729.0,5.0,1704.0,5.0,1390.0
San Juan,Ullum,0.0,357.0,2.0,864.0,2.0,704.0
San Juan,Zonda,0.0,362.0,2.0,881.0,2.0,729.0
San Luis,General Pedernera,5.0,6523.0,58.0,17217.0,69.0,15346.0
San Luis,Junin,1.0,1567.0,20.0,4272.0,31.0,3956.0
San Luis,Ayacucho,0.0,1087.0,15.0,2770.0,44.0,2471.0
San Luis,Gobernador Dupuy,0.0,706.0,13.0,1708.0,14.0,1593.0
San Luis,Chacabuco,1.0,1108.0,13.0,2742.0,25.0,2612.0
San Luis,Coronel Pringles,0.0,636.0,12.0,1710.0,23.0,1641.0
San Luis,Belgrano,0.0,260.0,7.0,651.0,25.0,545.0
San Luis,Libertador General San Martin,0.0,187.0,0.0,445.0,0.0,444.0
San Luis,Juan Martin De Pueyrredon,0.0,10712.0,0.0,28921.0,0.0,27055.0
Santa Cruz,Deseado,0.0,6113.0,37.0,16156.0,45.0,13468.0
Santa Cruz,Guer Aike,3.0,6145.0,37.0,16392.0,46.0,13731.0
Santa Cruz,Lago Argentino,1.0,1331.0,7.0,3312.0,9.0,2596.0
Santa Cruz,Corpen Aike,0.0,821.0,5.0,1949.0,6.0,1497.0
Santa Cruz,Magallanes,1.0,625.0,4.0,1739.0,3.0,1324.0
Santa Cruz,Lago Buenos Aires,0.0,752.0,4.0,1616.0,5.0,1174.0
Santa Cruz,Rio Chico,0.0,353.0,3.0,874.0,4.0,653.0
Santa Fe,Rosario,31.0,53739.0,343.0,136909.0,342.0,111326.0
Santa Fe,La Capital,21.0,24091.0,194.0,60178.0,175.0,51318.0
Santa Fe,General Obligado,2.0,9407.0,129.0,22397.0,155.0,19095.0
Santa Fe,Castellanos,9.0,8342.0,126.0,20593.0,124.0,17437.0
Santa Fe,San Cristobal,6.0,3275.0,105.0,8274.0,112.0,6990.0
Santa Fe,Las Colonias,7.0,4661.0,103.0,11728.0,107.0,10201.0
Santa Fe,General Lopez,8.0,8181.0,96.0,20764.0,104.0,17525.0
Santa Fe,Vera,0.0,2772.0,87.0,6546.0,92.0,5536.0
Santa Fe,9 De Julio,0.0,1464.0,61.0,3636.0,77.0,3285.0
Santa Fe,San Jeronimo,4.0,3767.0,53.0,9086.0,64.0,7615.0
Santa Fe,San Lorenzo,2.0,9067.0,51.0,22850.0,58.0,17689.0
Santa Fe,San Martin,1.0,2844.0,47.0,7148.0,53.0,5857.0
Santa Fe,San Justo,2.0,2052.0,43.0,5112.0,50.0,4294.0
Santa Fe,Constitucion,3.0,3679.0,40.0,9370.0,45.0,8501.0
Santa Fe,Iriondo,2.0,3138.0,39.0,7768.0,50.0,6189.0
Santa Fe,San Javier,0.0,1622.0,35.0,4011.0,40.0,3004.0
Santa Fe,Caseros,5.0,3185.0,28.0,8294.0,37.0,7108.0
Santa Fe,Garay,0.0,1219.0,20.0,2920.0,22.0,2238.0
Santa Fe,Belgrano,2.0,1968.0,17.0,4903.0,28.0,4293.0
Santiago del Estero,Capital,7.0,15140.0,143.0,37231.0,113.0,30377.0
Santiago del Estero,Banda,2.0,9064.0,119.0,21600.0,105.0,17110.0
Santiago del Estero,Rio Hondo,2.0,3438.0,67.0,8569.0,68.0,6856.0
Santiago del Estero,Figueroa,0.0,1183.0,54.0,2803.0,70.0,2471.0
Santiago del Estero,Loreto,1.0,1155.0,52.0,3051.0,47.0,2561.0
Santiago del Estero,Pellegrini,0.0,1418.0,51.0,3634.0,72.0,2937.0
Santiago del Estero,Robles,0.0,2959.0,46.0,7173.0,38.0,5982.0
Santiago del Estero,Moreno,0.0,2441.0,46.0,5635.0,72.0,5178.0
Santiago del Estero,General Taboada,0.0,2553.0,44.0,6042.0,52.0,5394.0
Santiago del Estero,Choya,0.0,2071.0,40.0,5276.0,48.0,4520.0
Santiago del Estero,Alberdi,0.0,1184.0,36.0,2854.0,58.0,2369.0
Santiago del Estero,Copo,0.0,2124.0,33.0,4966.0,79.0,4367.0
Santiago del Estero,Juan Felipe Ibarra,0.0,1139.0,31.0,3004.0,49.0,2585.0
Santiago del Estero,Avellaneda,0.0,1481.0,30.0,3527.0,52.0,3231.0
Santiago del Estero,Ojo De Agua,0.0,758.0,29.0,1714.0,45.0,1633.0
Santiago del Estero,Salavina,0.0,666.0,28.0,1746.0,38.0,1654.0
Santiago del Estero,Quebrachos,0.0,741.0,27.0,1585.0,43.0,1324.0
Santiago del Estero,Jimenez,0.0,980.0,27.0,2376.0,39.0,2055.0
Santiago del Estero,San Martin,0.0,610.0,27.0,1602.0,36.0,1480.0
Santiago del Estero,Atamisqui,0.0,822.0,26.0,2168.0,26.0,1880.0
Santiago del Estero,Guasayan,0.0,494.0,18.0,1095.0,23.0,941.0
Santiago del Estero,Silipica,0.0,464.0,14.0,1173.0,16.0,1076.0
Santiago del Estero,Rivadavia,0.0,261.0,12.0,649.0,16.0,539.0
Santiago del Estero,Aguirre,0.0,434.0,10.0,1064.0,13.0,941.0
Santiago del Estero,Sarmiento,0.0,286.0,10.0,722.0,17.0,624.0
Santiago del Estero,Belgrano,0.0,585.0,7.0,1293.0,12.0,1074.0
Santiago del Estero,Mitre,0.0,62.0,5.0,143.0,10.0,160.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Rio Grande,0.0,4771.0,28.0,11816.0,33.0,9779.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ushuaia,4.0,3576.0,23.0,8898.0,29.0,7210.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Tolhuin,0.0,322.0,0.0,832.0,0.0,662.0
Tucumán,Capital,46.0,24461.0,188.0,60342.0,138.0,50598.0
Tucumán,Cruz Alta,5.0,11658.0,89.0,29374.0,76.0,23883.0
Tucumán,Leales,0.0,3089.0,73.0,7892.0,73.0,6716.0
Tucumán,Burruyacu,0.0,2331.0,57.0,6034.0,57.0,4942.0
Tucumán,Tafi Viejo,6.0,8495.0,55.0,21744.0,49.0,17829.0
Tucumán,Simoca,0.0,1709.0,52.0,4427.0,52.0,3591.0
Tucumán,Chicligasta,3.0,4203.0,44.0,10719.0,41.0,8977.0
Tucumán,Monteros,1.0,3579.0,42.0,9280.0,40.0,7910.0
Tucumán,Lules,3.0,4717.0,37.0,12694.0,32.0,9951.0
Tucumán,Yerba Buena,3.0,4689.0,34.0,11860.0,32.0,10036.0
Tucumán,Rio Chico,0.0,3011.0,30.0,7740.0,30.0,6483.0
Tucumán,Graneros,0.0,800.0,30.0,1880.0,30.0,1613.0
Tucumán,Trancas,0.0,1163.0,25.0,2854.0,25.0,2478.0
Tucumán,Famailla,1.0,2322.0,24.0,5489.0,23.0,4607.0
Tucumán,Tafi Del Valle,1.0,1010.0,24.0,2606.0,24.0,2135.0
Tucumán,La Cocha,0.0,992.0,17.0,2557.0,18.0,2282.0
Tucumán,Juan Bautista Alberdi,0.0,1586.0,0.0,4124.0,0.0,3462.0
