Provincia,Departamento,Cantidad de CC con cap>100
Buenos Aires,Avellaneda,20
Buenos Aires,La Plata,8
Buenos Aires,Lomas De Zamora,3
Buenos Aires,Almirante Brown,2
Buenos Aires,General Pueyrredon,2
Buenos Aires,Bragado,1
Buenos Aires,Olavarria,1
Buenos Aires,Tres De Febrero,1
Buenos Aires,Mercedes,1
Buenos Aires,Dolores,0
Buenos Aires,Bahia Blanca,0
Buenos Aires,Benito Juarez,0
Buenos Aires,Berazategui,0
Buenos Aires,Canuelas,0
Buenos Aires,Carlos Casares,0
Buenos Aires,General Juan Madariaga,0
Buenos Aires,Pigue,0
Buenos Aires,San Isidro,0
Buenos Aires,Punta Indio,0
Buenos Aires,Ezeiza,0
Buenos Aires,Pehuajo,0
Buenos Aires,San Fernando,0
Buenos Aires,General Lavalle,0
Buenos Aires,Coronel Brandsen,0
Buenos Aires,Tapalque,0
Buenos Aires,Capitan Sarmiento,0
Buenos Aires,San Cayetano,0
Buenos Aires,Coronel De Marina Leonardo Rosales,0
Buenos Aires,Lujan,0
Buenos Aires,Monte,0
Buenos Aires,Villarino,0
Buenos Aires,Villa Gesell,0
Buenos Aires,Pinamar,0
Buenos Aires,San Vicente,0
Buenos Aires,Ramallo,0
Buenos Aires,San Miguel,0
Buenos Aires,Coronel Pringles,0
Buenos Aires,Florentino Ameghino,0
Buenos Aires,Chascomus,0
Buenos Aires,Tordillo,0
Buenos Aires,General La Madrid,0
Buenos Aires,Saavedra,0
Buenos Aires,Esteban Echeverria,0
Buenos Aires,Trenque Lauquen,0
Buenos Aires,Presidente Peron,0
Buenos Aires,Carmen De Areco,0
Buenos Aires,Vicente Lopez,0
Buenos Aires,Pila,0
Buenos Aires,General Viamonte,0
Buenos Aires,Pellegrini,0
Buenos Aires,Patagones,0
Buenos Aires,General Arenales,0
Buenos Aires,Carlos Tejedor,0
Buenos Aires,Rivadavia,0
Buenos Aires,Rauch,0
Buenos Aires,Suipacha,0
Buenos Aires,San Nicolas,0
Buenos Aires,General San Martin,0
Buenos Aires,Colon,0
Buenos Aires,Ensenada,0
Buenos Aires,Jose C. Paz,0
Buenos Aires,General Pinto,0
Buenos Aires,San Andres De Giles,0
Buenos Aires,Quilmes,0
Buenos Aires,Adolfo Gonzales Chaves,0
Buenos Aires,Bolivar,0
Buenos Aires,Pilar,0
Buenos Aires,Ayacucho,0
Buenos Aires,Balcarce,0
Buenos Aires,Berisso,0
Buenos Aires,Azul,0
Buenos Aires,General Guido,0
Buenos Aires,Coronel Dorrego,0
Buenos Aires,Navarro,0
Buenos Aires,General Alvarado,0
Buenos Aires,General Las Heras,0
Buenos Aires,Rojas,0
Buenos Aires,Leandro N. Alem,0
Buenos Aires,Pergamino,0
Buenos Aires,Roque Perez,0
Buenos Aires,San Pedro,0
Buenos Aires,Tandil,0
Buenos Aires,Tigre,0
Buenos Aires,Maipu,0
Buenos Aires,Marcos Paz,0
Buenos Aires,General Paz,0
Buenos Aires,Campana,0
Buenos Aires,Salto,0
Buenos Aires,Necochea,0
Buenos Aires,Mar Chiquita,0
Buenos Aires,Las Flores,0
Buenos Aires,Moreno,0
Buenos Aires,Junin,0
Buenos Aires,Puan,0
Buenos Aires,Arrecifes,0
Buenos Aires,Castelli,0
Buenos Aires,Malvinas Argentinas,0
Buenos Aires,Veronica,0
Buenos Aires,Zarate,0
Buenos Aires,Saladillo,0
Buenos Aires,Monte Hermoso,0
Buenos Aires,Salliquelo,0
Buenos Aires,Laprida,0
Buenos Aires,Lezama,0
Buenos Aires,Guamini,0
Buenos Aires,General Alvear,0
Buenos Aires,Tornquist,0
Buenos Aires,Escobar,0
Buenos Aires,Coronel Suarez,0
Buenos Aires,9 De Julio,0
Buenos Aires,Chivilcoy,0
Buenos Aires,General Rodriguez,0
Buenos Aires,Merlo,0
Buenos Aires,Moron,0
Buenos Aires,Tres Arroyos,0
Buenos Aires,General Belgrano,0
Buenos Aires,Florencio Varela,0
Buenos Aires,Hipolito Yrigoyen,0
Buenos Aires,Lanus,0
Buenos Aires,Loberia,0
Buenos Aires,Daireaux,0
Buenos Aires,Tres Lomas,0
Buenos Aires,Alberti,0
Buenos Aires,Hurlingham,0
Buenos Aires,Ituzaingo,0
Buenos Aires,Lincoln,0
Buenos Aires,Lobos,0
Buenos Aires,25 De Mayo,0
Buenos Aires,General Villegas,0
Buenos Aires,La Costa,0
Buenos Aires,Baradero,0
Buenos Aires,Exaltacion De La Cruz,0
Buenos Aires,Brandsen,0
Buenos Aires,Magdalena,0
Buenos Aires,San Antonio De Areco,0
Buenos Aires,Adolfo Alsina,0
Buenos Aires,Chacabuco,0
Buenos Aires,La Matanza,0
Catamarca,La Paz,0
Catamarca,Santa Maria,0
Catamarca,Santa Rosa,0
Catamarca,Ancasti,0
Catamarca,Antofagasta De La Sierra,0
Catamarca,Poman,0
Catamarca,Fray Mamerto Esquiu,0
Catamarca,Andalgala,0
Catamarca,Ambato,0
Catamarca,El Alto,0
Catamarca,Valle Viejo,0
Catamarca,Capayan,0
Catamarca,Capital,0
Catamarca,Paclin,0
Catamarca,Belen,0
Catamarca,Tinogasta,0
Chaco,San Fernando,2
Chaco,Mayor Luis J. Fontana,1
Chaco,O'Higgins,1
Chaco,Sargento Cabral,0
Chaco,Almirante Brown,0
Chaco,1º De Mayo,0
Chaco,Libertador General San Martin,0
Chaco,2 De Abril,0
Chaco,Comandante Fernandez,0
Chaco,General Donovan,0
Chaco,San Lorenzo,0
Chaco,Independencia,0
Chaco,Bermejo,0
Chaco,Fray Justo Santa Maria De Oro,0
Chaco,Libertad,0
Chaco,Presidencia De La Plaza,0
Chaco,Maipu,0
Chaco,Tapenaga,0
Chaco,9 De Julio,0
Chaco,General Belgrano,0
Chaco,12 De Octubre,0
Chaco,Chacabuco,0
Chaco,General Guemes,0
Chaco,25 De Mayo,0
Chaco,Quitilipi,0
Chubut,Biedma,1
Chubut,Rawson,1
Chubut,Languineo,0
Chubut,Gaiman,0
Chubut,Cushamen,0
Chubut,Florentino Ameghino,0
Chubut,Paso De Indios,0
Chubut,Gastre,0
Chubut,Escalante,0
Chubut,Tehuelches,0
Chubut,Futaleufu,0
Chubut,Sarmiento,0
Chubut,Martires,0
Chubut,Rio Senguer,0
Chubut,Telsen,0
Ciudad Autónoma de Buenos Aires,Ciudad Autonoma De Buenos Aires,78
Corrientes,Capital,1
Corrientes,General Alvear,0
Corrientes,San Luis Del Palmar,0
Corrientes,Empedrado,0
Corrientes,General Paz,0
Corrientes,Saladas,0
Corrientes,San Martin,0
Corrientes,Monte Caseros,0
Corrientes,Lavalle,0
Corrientes,Paso De Los Libres,0
Corrientes,Goya,0
Corrientes,San Cosme,0
Corrientes,Itati,0
Corrientes,Esquina,0
Corrientes,Bella Vista,0
Corrientes,Concepcion,0
Corrientes,San Miguel,0
Corrientes,Santo Tome,0
Corrientes,Beron De Astrada,0
Corrientes,Sauce,0
Corrientes,Curuzu Cuatia,0
Corrientes,Mburucuya,0
Corrientes,San Roque,0
Corrientes,Ituzaingo,0
Corrientes,Mercedes,0
Córdoba,Capital,5
Córdoba,San Justo,2
Córdoba,Punilla,2
Córdoba,Marcos Juarez,2
Córdoba,Ischilin,1
Córdoba,Tercero Arriba,1
Córdoba,Rio Cuarto,1
Córdoba,Juarez Celman,1
Córdoba,Colon,1
Córdoba,Minas,1
Córdoba,Rio Primero,0
Córdoba,Cruz Del Eje,0
Córdoba,Sobremonte,0
Córdoba,Rio Segundo,0
Córdoba,San Alberto,0
Córdoba,Pocho,0
Córdoba,Union,0
Córdoba,Presidente Roque Saenz Pena,0
Córdoba,San Javier,0
Córdoba,Santa Maria,0
Córdoba,Totoral,0
Córdoba,Calamuchita,0
Córdoba,General Roca,0
Córdoba,Tulumba,0
Córdoba,Rio Seco,0
Córdoba,General San Martin,0
Entre Ríos,Parana,3
Entre Ríos,Concordia,1
Entre Ríos,Federacion,0
Entre Ríos,Colon,0
Entre Ríos,Feliciano,0
Entre Ríos,Uruguay,0
Entre Ríos,San Salvador,0
Entre Ríos,Federal,0
Entre Ríos,Diamante,0
Entre Ríos,Islas Del Ibicuy,0
Entre Ríos,Tala,0
Entre Ríos,Nogoya,0
Entre Ríos,Villaguay,0
Entre Ríos,Gualeguay,0
Entre Ríos,Gualeguaychu,0
Entre Ríos,Victoria,0
Entre Ríos,La Paz,0
Formosa,Patino,0
Formosa,Pirane,0
Formosa,Bermejo,0
Formosa,Pilcomayo,0
Formosa,Matacos,0
Formosa,Ramon Lista,0
Formosa,Laishi,0
Formosa,Pilagas,0
Formosa,Formosa,0
Jujuy,Dr. Manuel Belgrano,4
Jujuy,Tilcara,1
Jujuy,Susques,0
Jujuy,El Carmen,0
Jujuy,Cochinoca,0
Jujuy,San Antonio,0
Jujuy,Rinconada,0
Jujuy,Yavi,0
Jujuy,Santa Barbara,0
Jujuy,Santa Catalina,0
Jujuy,Humahuaca,0
Jujuy,Valle Grande,0
Jujuy,Tumbaya,0
Jujuy,Ledesma,0
Jujuy,San Pedro,0
Jujuy,Palpala,0
La Pampa,Trenel,0
La Pampa,Quemu Quemu,0
La Pampa,Loventue,0
La Pampa,Realico,0
La Pampa,Conhelo,0
La Pampa,Chalileo,0
La Pampa,Atreuco,0
La Pampa,Hucal,0
La Pampa,Catrilo,0
La Pampa,Capital,0
La Pampa,Curaco,0
La Pampa,Toay,0
La Pampa,Maraco,0
La Pampa,Puelen,0
La Pampa,Chapaleufu,0
La Pampa,Guatrache,0
La Pampa,Limay Mahuida,0
La Pampa,Lihuel Calel,0
La Pampa,Caleu Caleu,0
La Pampa,Utracan,0
La Pampa,Chical Co,0
La Pampa,Rancul,0
La Rioja,Independencia,0
La Rioja,General Juan Facundo Quiroga,0
La Rioja,General Ortiz De Ocampo,0
La Rioja,General Belgrano,0
La Rioja,General San Martin,0
La Rioja,Vinchina,0
La Rioja,General Lamadrid,0
La Rioja,Angel Vicente Penaloza,0
La Rioja,Sanagasta,0
La Rioja,San Blas De Los Sauces,0
La Rioja,Castro Barros,0
La Rioja,Rosario Vera Penaloza,0
La Rioja,Capital,0
La Rioja,Arauco,0
La Rioja,Chamical,0
La Rioja,General Felipe Varela,0
La Rioja,Chilecito,0
La Rioja,Famatina,0
Mendoza,Guaymallen,2
Mendoza,Lujan De Cuyo,1
Mendoza,Tupungato,0
Mendoza,Maipu,0
Mendoza,General Alvear,0
Mendoza,Junin,0
Mendoza,San Martin,0
Mendoza,Lavalle,0
Mendoza,Malargue,0
Mendoza,Tunuyan,0
Mendoza,Rivadavia,0
Mendoza,Godoy Cruz,0
Mendoza,San Rafael,0
Mendoza,Las Heras,0
Mendoza,Santa Rosa,0
Mendoza,San Carlos,0
Mendoza,La Paz,0
Mendoza,Capital,0
Misiones,Capital,2
Misiones,Obera,1
Misiones,Leandro N. Alem,0
Misiones,San Pedro,0
Misiones,Eldorado,0
Misiones,Montecarlo,0
Misiones,San Javier,0
Misiones,Candelaria,0
Misiones,San Ignacio,0
Misiones,25 De Mayo,0
Misiones,Apostoles,0
Misiones,Guarani,0
Misiones,Concepcion,0
Misiones,Iguazu,0
Misiones,General Manuel Belgrano,0
Misiones,Libertador General San Martin,0
Misiones,Cainguas,0
Neuquén,Confluencia,4
Neuquén,Zapala,1
Neuquén,Anelo,0
Neuquén,Alumine,0
Neuquén,Pehuenches,0
Neuquén,Picun Leufu,0
Neuquén,Picunches,0
Neuquén,Lacar,0
Neuquén,Collon Cura,0
Neuquén,Los Lagos,0
Neuquén,Norquin,0
Neuquén,Huiliches,0
Neuquén,Chos Malal,0
Neuquén,Minas,0
Neuquén,Catan Lil,0
Neuquén,Loncopue,0
Río Negro,General Roca,3
Río Negro,San Antonio,1
Río Negro,El Cuy,0
Río Negro,9 De Julio,0
Río Negro,Pichi Mahuida,0
Río Negro,Pilcaniyeu,0
Río Negro,Adolfo Alsina,0
Río Negro,25 De Mayo,0
Río Negro,Conesa,0
Río Negro,Avellaneda,0
Río Negro,Norquinco,0
Río Negro,Bariloche,0
Río Negro,Valcheta,0
Salta,Cafayate,1
Salta,Capital,1
Salta,La Poma,0
Salta,Guachipas,0
Salta,San Carlos,0
Salta,Santa Victoria,0
Salta,Cachi,0
Salta,Rivadavia,0
Salta,Cerrillos,0
Salta,Oran,0
Salta,Los Andes,0
Salta,Metan,0
Salta,Anta,0
Salta,La Caldera,0
Salta,Rosario De Lerma,0
Salta,General Guemes,0
Salta,Molinos,0
Salta,La Candelaria,0
Salta,La Vina,0
Salta,General Jose De San Martin,0
Salta,Rosario De La Frontera,0
Salta,Chicoana,0
Salta,Iruya,0
San Juan,Capital,1
San Juan,Rivadavia,0
San Juan,Pocito,0
San Juan,Jachal,0
San Juan,Calingasta,0
San Juan,Albardon,0
San Juan,Iglesia,0
San Juan,Santa Lucia,0
San Juan,Chimbas,0
San Juan,Rawson,0
San Juan,Caucete,0
San Juan,25 De Mayo,0
San Juan,Zonda,0
San Juan,Angaco,0
San Juan,Valle Fertil,0
San Juan,Ullum,0
San Juan,9 De Julio,0
San Juan,San Martin,0
San Juan,Sarmiento,0
San Luis,Junin,1
San Luis,Belgrano,0
San Luis,Coronel Pringles,0
San Luis,Juan Martin De Pueyrredon,0
San Luis,Ayacucho,0
San Luis,Libertador General San Martin,0
San Luis,General Pedernera,0
San Luis,Gobernador Dupuy,0
San Luis,Chacabuco,0
Santa Cruz,Lago Buenos Aires,0
Santa Cruz,Magallanes,0
Santa Cruz,Lago Argentino,0
Santa Cruz,Guer Aike,0
Santa Cruz,Deseado,0
Santa Cruz,Rio Chico,0
Santa Cruz,Corpen Aike,0
Santa Fe,Rosario,6
Santa Fe,La Capital,5
Santa Fe,Las Colonias,3
Santa Fe,Castellanos,3
Santa Fe,San Cristobal,1
Santa Fe,Caseros,1
Santa Fe,Vera,1
Santa Fe,San Lorenzo,1
Santa Fe,Santa Fe,1
Santa Fe,Constitucion,0
Santa Fe,Belgrano,0
Santa Fe,General Lopez,0
Santa Fe,Iriondo,0
Santa Fe,San Justo,0
Santa Fe,San Javier,0
Santa Fe,Garay,0
Santa Fe,9 De Julio,0
Santa Fe,San Martin,0
Santa Fe,General Obligado,0
Santa Fe,San Jeronimo,0
Santiago del Estero,Banda,1
Santiago del Estero,Capital,1
Santiago del Estero,Atamisqui,0
Santiago del Estero,Figueroa,0
Santiago del Estero,Belgrano,0
Santiago del Estero,Avellaneda,0
Santiago del Estero,Quebrachos,0
Santiago del Estero,General Taboada,0
Santiago del Estero,Pellegrini,0
Santiago del Estero,Rivadavia,0
Santiago del Estero,Aguirre,0
Santiago del Estero,Ojo De Agua,0
Santiago del Estero,Moreno,0
Santiago del Estero,Alberdi,0
Santiago del Estero,Robles,0
Santiago del Estero,San Martin,0
Santiago del Estero,Choya,0
Santiago del Estero,Rio Hondo,0
Santiago del Estero,Juan Felipe Ibarra,0
Santiago del Estero,Guasayan,0
Santiago del Estero,Sarmiento,0
Santiago del Estero,Salavina,0
Santiago del Estero,Loreto,0
Santiago del Estero,Copo,0
Santiago del Estero,Jimenez,0
Santiago del Estero,Silipica,0
Santiago del Estero,Mitre,0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ushuaia,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Rio Grande,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Antartida Argentina,0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Tolhuin,0
Tucumán,Lules,2
Tucumán,Cruz Alta,0
Tucumán,Juan Bautista Alberdi,0
Tucumán,Rio Chico,0
Tucumán,Famailla,0
Tucumán,Trancas,0
Tucumán,Simoca,0
Tucumán,Capital,0
Tucumán,Monteros,0
Tucumán,Tafi Viejo,0
Tucumán,Chicligasta,0
Tucumán,Leales,0
Tucumán,La Cocha,0
Tucumán,Yerba Buena,0
Tucumán,Tafi Del Valle,0
Tucumán,Graneros,0
Tucumán,Burruyacu,0
